Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C103, C104, C105, C106, C107, C312",0603,7,100nF,C14663
"C111, C209, C211, C215",0603,4,12pF,C38523
"C114, C201, C207, C210, C303, C322",0805,6,10uF,C15850
"C203, C301, C302",CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,3,220uF,
"D201, D203, D204",D_SOD-123,3,D_Schottky,C8598
D302,0805,1,LED,C434435
F202,1206,1,500mA Hold,C369160
J101,DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm,1,DB25_Female_MountingHoles,N/A
J301,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,
JP301,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SCSI_TERM,
L201,Inductor_1008,1,2.2uH,C86092
"L202, L301",0603,2,Ferrite_Bead_Small,C1002
"R109, R110, R119",0603,3,110,C22781
"R122, R123, R124, R125, R301, R317",0603,6,1k,C21190
"R126, R127, R128, R129, R205, R307, R308, R311, R312, R313, R314, R315, R318",0603,13,4k7,C23162
R201,0603,1,510k,C23192
R202,0603,1,100k,C25803
R304,0603,1,62,C25252
"RN301, RN302",R_Array_Convex_8x0602,2,110,
U1,RPi_Pico_WH_headers,1,Pico W,N/A
"U101, U102, U103",SSOP_TSSOP-14_4.4x5mm_Pitch0.65mm_PCBWay-MaskClearance0.22mm,3,74LVT125,C7042
"U105, U106",SSOP_TSSOP-20_5.3x7.2mm_P0.65mm,2,74LVT245,C7057
U201,TSOT-23-5,1,LM3674-ADJ,C52027
