Designator,Mid X,Mid Y,Rotation,Layer
C101,68.4,94.775,270.0,bottom
C103,43.5,74.275,90.0,top
C104,59.5,74.725,270.0,bottom
C105,46.725,79.0,0.0,bottom
C106,43.5,71.225,90.0,top
C107,38.775,65.5,0.0,top
C111,28.172913,65.472848,180.0,bottom
C114,42.0,65.5,0.0,bottom
C201,49.3475,73.595,270.0,top
C203,49.3,77.8,180.0,top
C207,54.925,72.5,180.0,top
C209,50.325,66.5,270.0,top
C210,51.3475,73.595,270.0,top
C211,51.825,66.5,270.0,top
C215,55.725,65.5,180.0,top
C301,57.22,77.8,0.0,top
C302,59.09,68.7,90.0,top
C303,47.52,66.51,270.0,top
C312,43.2,77.81,270.0,top
C322,40.5,77.0,0.0,top
D201,55.01,74.75,0.0,top
D203,53.75,96.2,0.0,bottom
D204,45.75,96.2,180.0,bottom
D302,72.5,62.5,90.0,top
F202,47.2,93.4,180.0,bottom
J101,29.33,86.98,180.0,top
J301,26.665,72.43,270.0,top
L201,55.125,69.8,0.0,top
L202,49.75,96.2,90.0,bottom
L301,21.7875,84.0,0.0,bottom
R109,40.5,72.0,0.0,top
R110,25.5,66.175,270.0,bottom
R119,28.175,67.0,0.0,bottom
R122,28.0,79.5,0.0,bottom
R123,54.0,84.0,180.0,bottom
R124,60.0,84.0,180.0,bottom
R125,45.5,66.325,270.0,top
R126,41.825,67.5,180.0,bottom
R127,40.0,84.0,0.0,bottom
R128,56.0,79.0,180.0,bottom
R129,57.0,66.175,90.0,bottom
R201,55.725,67.1,180.0,top
R202,53.425,66.6,270.0,top
R205,52.825,79.0,0.0,bottom
R301,43.175,84.0,0.0,bottom
R304,72.5,65.675,90.0,top
R307,34.725,83.8,180.0,bottom
R308,23.5,66.2,90.0,bottom
R311,39.175,70.0,0.0,top
R312,40.5,73.5,0.0,top
R313,55.0,66.175,90.0,bottom
R314,40.5,75.0,0.0,top
R315,40.5,79.0,0.0,top
R317,21.0,74.225,90.0,bottom
R318,21.0,70.775,90.0,bottom
RN301,36.9,93.8,270.0,bottom
RN302,60.25,95.1,90.0,bottom
U1,44.795,72.29,90.0,top
U101,35.825,76.0,0.0,bottom
U102,35.825,69.0,0.0,bottom
U103,55.05,72.85,90.0,bottom
U105,26.025,73.0,90.0,bottom
U106,46.475,73.2,270.0,bottom
U201,50.625,69.8,0.0,top
